Name           Surname        HW1            HW2            HW3            HW4            HW5            HW6            Exam           
Name43         Surname43      3              0              10             0              0              1              7              
Name44         Surname44      5              1              6              9              0              0              1              
Name45         Surname45      2              10             5              8              7              6              1              
Name46         Surname46      1              10             9              4              3              5              7              
Name47         Surname47      2              9              6              8              7              2              6              
Name48         Surname48      1              2              1              4              0              6              10             
Name49         Surname49      4              4              7              3              4              7              7              
Name50         Surname50      7              1              2              4              3              9              3              
Name51         Surname51      5              6              5              8              9              5              3              
Name52         Surname52      5              2              5              5              7              7              6              
Name53         Surname53      8              0              7              7              3              9              2              
Name54         Surname54      0              9              10             2              2              0              1              
Name55         Surname55      5              9              8              6              4              4              9              
Name56         Surname56      5              9              3              6              7              5              4              
Name57         Surname57      1              2              0              6              7              1              7              
Name58         Surname58      10             8              4              10             3              7              1              
Name59         Surname59      6              6              0              6              7              10             0              
Name60         Surname60      7              8              5              1              9              9              10             
Name61         Surname61      3              7              9              8              4              2              2              
Name62         Surname62      4              7              8              4              9              9              1              
Name63         Surname63      9              9              9              10             1              8              10             
Name64         Surname64      9              4              0              8              7              7              1              
Name65         Surname65      2              6              8              7              7              2              5              
Name66         Surname66      10             4              6              1              7              5              8              
Name67         Surname67      7              0              6              1              6              5              7              
Name68         Surname68      9              7              8              9              6              3              9              
Name69         Surname69      1              10             4              8              9              8              6              
Name70         Surname70      1              6              7              1              3              0              7              
Name71         Surname71      2              5              8              10             7              3              8              
Name72         Surname72      10             5              6              9              5              9              4              
Name73         Surname73      0              2              2              9              4              7              4              
Name74         Surname74      0              9              4              6              2              1              0              
Name75         Surname75      4              0              3              8              7              3              2              
Name76         Surname76      1              7              1              8              5              0              6              
Name77         Surname77      6              8              1              0              6              5              10             
Name78         Surname78      4              6              5              2              6              8              7              
Name79         Surname79      3              1              2              1              3              1              2              
Name80         Surname80      3              3              7              5              1              2              9              
Name81         Surname81      0              7              7              4              8              6              7              
Name82         Surname82      4              9              8              2              4              7              8              
Name83         Surname83      1              3              3              9              3              6              10             
Name84         Surname84      7              0              5              7              9              0              8              
Name85         Surname85      9              3              0              7              9              8              3              
Name86         Surname86      4              2              8              1              6              8              5              
Name87         Surname87      3              3              9              2              7              7              1              
Name88         Surname88      5              9              3              0              8              3              9              
Name89         Surname89      4              1              10             0              0              9              4              
Name90         Surname90      6              9              6              9              2              10             5              
Name91         Surname91      2              9              7              0              9              5              10             
Name92         Surname92      5              9              6              9              6              8              9              
Name93         Surname93      5              7              3              9              6              6              2              
Name94         Surname94      1              6              8              10             7              0              9              
Name95         Surname95      8              7              9              10             0              0              4              
Name96         Surname96      8              10             8              2              6              9              8              
Name97         Surname97      10             1              6              7              0              5              3              
Name98         Surname98      6              5              4              8              1              8              6              
Name99         Surname99      7              5              0              4              4              2              7              
Name100        Surname100     2              7              0              1              7              7              8              
Name101        Surname101     4              1              5              9              0              4              8              
Name102        Surname102     10             7              6              0              6              4              1              
Name103        Surname103     10             7              1              9              9              6              8              
Name104        Surname104     10             6              5              2              9              9              6              
Name105        Surname105     10             10             5              8              4              3              7              
Name106        Surname106     5              6              5              3              8              10             3              
Name107        Surname107     1              8              8              1              0              3              2              
Name108        Surname108     9              6              5              8              10             10             4              
Name109        Surname109     3              3              8              0              7              9              10             
Name110        Surname110     9              2              2              0              9              2              9              
Name111        Surname111     1              9              9              1              10             2              5              
Name112        Surname112     2              1              2              1              4              8              5              
Name113        Surname113     0              0              0              3              7              0              8              
Name114        Surname114     9              3              10             9              4              7              9              
Name115        Surname115     4              2              0              7              4              4              10             
Name116        Surname116     7              2              5              0              8              7              10             
Name117        Surname117     3              1              8              6              0              10             9              
Name118        Surname118     10             0              6              8              2              10             5              
Name119        Surname119     3              9              6              8              0              7              10             
Name120        Surname120     9              8              5              10             5              10             4              
Name121        Surname121     4              8              3              2              1              0              1              
Name122        Surname122     8              5              5              2              3              10             9              
Name123        Surname123     1              0              1              4              3              4              8              
Name124        Surname124     2              3              10             8              7              8              0              
Name125        Surname125     6              6              3              3              9              0              9              
Name126        Surname126     4              9              9              5              9              0              5              
Name127        Surname127     7              8              1              5              2              3              0              
Name128        Surname128     9              8              2              9              6              7              8              
Name129        Surname129     4              9              4              9              3              8              7              
Name130        Surname130     6              2              7              5              8              6              8              
Name131        Surname131     10             5              2              0              6              0              3              
Name132        Surname132     7              0              9              3              2              0              0              
Name133        Surname133     7              5              1              8              7              3              8              
Name134        Surname134     7              0              8              8              1              10             6              
Name135        Surname135     5              1              8              7              6              0              6              
Name136        Surname136     1              8              1              9              1              4              0              
Name137        Surname137     10             8              1              10             10             6              6              
Name138        Surname138     3              3              10             2              9              0              10             
Name139        Surname139     2              3              7              0              2              9              4              
Name140        Surname140     0              8              10             8              1              0              6              
Name141        Surname141     5              10             6              4              3              10             2              
Name142        Surname142     1              3              8              5              8              2              6              
Name143        Surname143     2              8              10             2              4              8              6              
Name144        Surname144     1              7              4              7              0              2              5              
Name145        Surname145     0              10             9              0              7              6              10             
Name146        Surname146     1              7              4              5              6              4              7              
Name147        Surname147     0              1              8              5              6              6              2              
Name148        Surname148     0              1              1              6              5              6              7              
Name149        Surname149     9              10             6              4              0              4              1              
Name150        Surname150     5              8              1              2              4              3              6              
Name151        Surname151     8              0              9              3              1              2              1              
Name152        Surname152     6              3              2              5              6              4              0              
Name153        Surname153     9              1              4              9              7              3              1              
Name154        Surname154     8              0              7              0              6              5              0              
Name155        Surname155     0              0              1              6              6              1              1              
Name156        Surname156     8              5              10             6              4              8              7              
Name157        Surname157     10             3              6              8              10             0              2              
Name158        Surname158     5              7              8              10             2              9              5              
Name159        Surname159     9              9              0              8              9              9              6              
Name160        Surname160     9              1              4              10             1              5              0              
Name161        Surname161     0              0              1              5              2              8              8              
Name162        Surname162     6              0              5              9              6              5              0              
Name163        Surname163     7              1              1              2              0              7              10             
Name164        Surname164     9              6              7              4              6              6              1              
Name165        Surname165     7              5              1              7              9              2              3              
Name166        Surname166     4              7              5              10             4              7              6              
Name167        Surname167     0              2              3              8              8              2              9              
Name168        Surname168     10             6              3              5              1              9              8              
Name169        Surname169     1              6              3              6              9              3              3              
Name170        Surname170     4              9              3              0              5              4              4              
Name171        Surname171     7              4              10             7              8              1              10             
Name172        Surname172     10             5              6              0              3              3              7              
Name173        Surname173     10             1              4              5              4              2              0              
Name174        Surname174     5              9              0              6              4              3              10             
Name175        Surname175     3              4              0              0              4              0              4              
Name176        Surname176     0              4              3              6              4              7              1              
Name177        Surname177     0              3              4              9              8              9              4              
Name178        Surname178     0              6              4              7              1              2              0              
Name179        Surname179     1              4              10             10             6              9              8              
Name180        Surname180     5              1              0              10             5              6              9              
Name181        Surname181     9              2              10             10             10             9              3              
Name182        Surname182     4              1              0              6              4              3              7              
Name183        Surname183     1              9              2              0              0              5              0              
Name184        Surname184     0              4              10             7              7              5              8              
Name185        Surname185     2              3              7              5              8              5              6              
Name186        Surname186     8              1              4              7              1              4              0              
Name187        Surname187     7              4              9              3              0              5              3              
Name188        Surname188     6              8              3              2              1              5              3              
Name189        Surname189     1              7              2              6              10             4              9              
Name190        Surname190     2              1              5              8              2              8              8              
Name191        Surname191     5              1              5              7              1              9              9              
Name192        Surname192     9              7              2              9              5              10             3              
Name193        Surname193     8              4              7              8              4              8              4              
Name194        Surname194     5              9              3              3              3              8              7              
Name195        Surname195     0              8              10             5              6              0              9              
Name196        Surname196     5              8              0              4              8              9              4              
Name197        Surname197     9              7              6              10             1              8              3              
Name198        Surname198     4              5              1              10             5              4              3              
Name199        Surname199     1              5              4              3              0              6              7              
Name200        Surname200     9              4              8              6              5              6              7              
Name201        Surname201     2              0              6              10             9              1              7              
Name202        Surname202     3              7              6              8              10             6              1              
Name203        Surname203     4              5              2              9              1              6              10             
Name204        Surname204     10             0              10             3              5              3              4              
Name205        Surname205     7              3              0              7              3              10             2              
Name206        Surname206     0              0              10             6              7              8              10             
Name207        Surname207     5              2              8              1              4              10             0              
Name208        Surname208     5              1              1              9              1              9              7              
Name209        Surname209     6              8              2              5              3              4              4              
Name210        Surname210     3              2              8              8              2              5              1              
Name211        Surname211     7              7              5              5              7              3              1              
Name212        Surname212     10             10             5              1              1              10             8              
Name213        Surname213     0              7              0              8              10             6              0              
Name214        Surname214     0              5              2              6              5              10             2              
Name215        Surname215     2              4              5              0              10             4              2              
Name216        Surname216     4              0              10             7              10             8              4              
Name217        Surname217     2              1              10             4              0              4              1              
Name218        Surname218     10             10             6              10             3              2              8              
Name219        Surname219     2              8              0              7              3              6              2              
Name220        Surname220     0              2              0              2              5              0              10             
Name221        Surname221     5              0              3              10             6              7              6              
Name222        Surname222     6              3              1              1              5              8              8              
Name223        Surname223     3              8              6              5              6              10             4              
Name224        Surname224     9              0              5              6              5              8              3              
Name225        Surname225     7              4              0              7              5              0              0              
Name226        Surname226     10             9              4              6              0              9              7              
Name227        Surname227     9              9              2              0              6              5              4              
Name228        Surname228     5              0              4              5              2              8              9              
Name229        Surname229     8              9              8              5              8              9              10             
Name230        Surname230     7              6              9              7              4              2              7              
Name231        Surname231     8              7              10             5              8              3              4              
Name232        Surname232     5              8              6              8              8              3              5              
Name233        Surname233     1              0              0              1              9              0              2              
Name234        Surname234     5              6              5              5              10             7              6              
Name235        Surname235     1              1              3              2              3              10             0              
Name236        Surname236     4              1              8              10             1              9              9              
Name237        Surname237     5              2              8              2              8              10             4              
Name238        Surname238     7              9              5              6              6              1              7              
Name239        Surname239     0              7              7              1              6              5              3              
Name240        Surname240     8              5              7              9              10             10             3              
Name241        Surname241     9              3              2              1              4              1              9              
Name242        Surname242     6              1              1              10             7              6              1              
Name243        Surname243     3              2              7              1              9              5              4              
Name244        Surname244     10             4              9              5              1              8              9              
Name245        Surname245     8              2              9              5              9              3              1              
Name246        Surname246     6              2              7              6              5              7              5              
Name247        Surname247     9              1              2              9              3              4              0              
Name248        Surname248     2              5              6              8              2              1              7              
Name249        Surname249     1              0              0              0              0              10             2              
Name250        Surname250     10             8              8              4              2              10             3              
Name251        Surname251     5              5              10             4              4              8              6              
Name252        Surname252     7              4              4              6              10             7              0              
Name253        Surname253     4              4              6              9              7              10             4              
Name254        Surname254     0              4              4              1              1              3              9              
Name255        Surname255     0              8              3              5              0              2              2              
Name256        Surname256     0              3              6              5              6              0              7              
Name257        Surname257     9              8              7              6              2              9              10             
Name258        Surname258     5              1              4              9              8              10             4              
Name259        Surname259     5              3              2              7              0              7              0              
Name260        Surname260     6              4              9              4              0              2              8              
Name261        Surname261     9              10             3              3              0              0              6              
Name262        Surname262     3              8              3              1              2              8              0              
Name263        Surname263     9              10             2              7              9              5              10             
Name264        Surname264     4              8              6              7              4              4              8              
Name265        Surname265     5              6              4              1              6              10             3              
Name266        Surname266     4              9              4              9              4              9              5              
Name267        Surname267     10             6              8              8              1              2              3              
Name268        Surname268     0              5              8              6              3              9              5              
Name269        Surname269     2              5              7              10             1              6              9              
Name270        Surname270     5              3              9              5              9              6              2              
Name271        Surname271     3              8              0              10             8              1              2              
Name272        Surname272     3              6              9              7              3              3              9              
Name273        Surname273     2              10             1              9              10             9              5              
Name274        Surname274     0              4              3              2              2              9              3              
Name275        Surname275     4              2              7              6              8              4              2              
Name276        Surname276     8              9              3              1              9              1              2              
Name277        Surname277     5              7              10             3              0              6              5              
Name278        Surname278     2              8              3              8              1              0              10             
Name279        Surname279     1              0              0              9              10             2              1              
Name280        Surname280     8              2              5              7              8              9              0              
Name281        Surname281     8              2              2              2              10             0              0              
Name282        Surname282     8              0              0              3              9              1              10             
Name283        Surname283     3              7              0              10             5              0              4              
Name284        Surname284     0              9              2              7              1              1              10             
Name285        Surname285     1              0              6              5              10             9              3              
Name286        Surname286     2              2              8              6              5              1              8              
Name287        Surname287     8              1              6              8              6              10             7              
Name288        Surname288     8              5              3              8              7              7              5              
Name289        Surname289     1              2              0              9              0              8              1              
Name290        Surname290     3              8              7              1              5              6              2              
Name291        Surname291     4              7              4              9              9              6              7              
Name292        Surname292     0              7              3              3              9              5              8              
Name293        Surname293     6              7              9              0              1              6              10             
Name294        Surname294     6              10             1              8              3              1              3              
Name295        Surname295     6              10             0              6              3              2              9              
Name296        Surname296     8              4              4              9              0              4              10             
Name297        Surname297     1              10             10             5              7              8              10             
Name298        Surname298     10             5              1              4              9              3              5              
Name299        Surname299     0              10             2              1              0              10             7              
Name300        Surname300     3              2              0              4              8              3              2              
Name301        Surname301     6              0              7              6              1              9              8              
Name302        Surname302     8              5              3              9              9              7              0              
Name303        Surname303     10             9              7              4              5              7              6              
Name304        Surname304     6              7              10             6              3              5              0              
Name305        Surname305     8              9              1              5              4              7              5              
Name306        Surname306     2              7              1              8              4              6              1              
Name307        Surname307     0              5              6              8              10             9              2              
Name308        Surname308     2              3              6              4              3              3              0              
Name309        Surname309     8              9              9              4              1              2              3              
Name310        Surname310     6              6              4              10             3              6              0              
Name311        Surname311     4              4              4              6              3              1              6              
Name312        Surname312     10             0              9              6              6              4              9              
Name313        Surname313     3              2              7              2              2              0              4              
Name314        Surname314     9              0              10             6              10             4              10             
Name315        Surname315     0              4              4              3              0              2              6              
Name316        Surname316     10             7              3              5              7              0              9              
Name317        Surname317     10             3              3              2              2              8              8              
Name318        Surname318     2              10             5              7              3              4              6              
Name319        Surname319     10             1              4              10             10             10             7              
Name320        Surname320     3              2              7              5              6              7              1              
Name321        Surname321     5              1              1              5              7              1              4              
Name322        Surname322     7              8              2              9              10             9              4              
Name323        Surname323     4              1              1              4              7              5              8              
Name324        Surname324     5              1              9              9              10             10             9              
Name325        Surname325     5              1              4              5              5              4              6              
Name326        Surname326     4              0              9              8              5              10             4              
Name327        Surname327     5              6              10             5              3              1              8              
Name328        Surname328     0              0              6              8              4              2              3              
Name329        Surname329     5              10             3              1              10             0              0              
Name330        Surname330     3              7              0              10             9              3              6              
